LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
locaaacb1131c06,"[(207031167, 6.6474246700629456e-06), (207011147, 0.00016682321501124606)]",Mont Albert,"[207011147, 0.9616798284581457]",207011147,"[[207031167, 0.03832017154185422], [207011147, 0.9616798284581457]]"
locadc5cabaa80e,"[(208041194, 0.0005439916153193474), (207011150, 0.0002742019290513228)]",Glen Iris,"[208041194, 0.6648691120360395]",208041194,"[[208041194, 0.6648691120360395], [207011150, 0.33513088796396046]]"
locae977e7a8d83,"[(212031557, 0.000804524977888772), (212031558, 0.00046535496291323826)]",Cranbourne East,"[212031557, 0.633544126526373]",212031557,"[[212031557, 0.633544126526373], [212031558, 0.36645587347362685]]"
locb10305db77b5,"[(212021453, 0.001014463705538073), (212021454, 0.0005584477026936758)]",Endeavour Hills,"[212021453, 0.6449592139957347]",212021453,"[[212021453, 0.6449592139957347], [212021454, 0.3550407860042652]]"
locb52441c1176c,"[(212031304, 0.0019023307105629282), (212031303, 0.0001187632657682369)]",Cranbourne South,"[212031304, 0.941238127885659]",212031304,"[[212031304, 0.941238127885659], [212031303, 0.05876187211434102]]"
locb694454fbbb1,"[(207011149, 7.828355288316961e-07), (207011155, 0.0002994166618684333)]",Canterbury,"[207011155, 0.9973922823468431]",207011155,"[[207011149, 0.0026077176531569646], [207011155, 0.9973922823468431]]"
locb71d10cf3b7c,"[(215021469, 0.002453213830946412), (215021470, 0.004893524275808467)]",Mildura,"[215021470, 0.666081219270518]",215021470,"[[215021469, 0.33391878072948195], [215021470, 0.666081219270518]]"
locbb5f291d781d,"[(206011109, 0.0003012477976349461), (210031538, 3.9618391981887545e-06), (206011498, 7.849244601019925e-06)]",Pascoe Vale South,"[206011109, 0.9622720053649303]",206011109,"[[206011109, 0.9622720053649303], [210031538, 0.012655252520034454], [206011498, 0.02507274211503514]]"
locbb6ca08c118e,"[(206021499, 0.0003586832073903211), (206021500, 0.0002529498046929575)]",Northcote,"[206021499, 0.5864353301804508]",206021499,"[[206021499, 0.5864353301804508], [206021500, 0.41356466981954926]]"
locbd7d4fd6b9e7,"[(206011498, 4.217132491398452e-06), (206011497, 0.00038276852318560337), (206011109, 0.0003202649382764448)]",Coburg,"[206011497, 0.5412063651243797]",206011497,"[[206011498, 0.005962713255319001], [206011497, 0.5412063651243797], [206011109, 0.4528309216203014]]"
locc1978682d520,"[(208021181, 1.196141853229255e-05), (208021176, 0.0002575848748174341)]",Murrumbeena,"[208021176, 0.9556238804709771]",208021176,"[[208021181, 0.044376119529022935], [208021176, 0.9556238804709771]]"
locc2ea2de6af6c,"[(206061516, 0.00010600838383742714), (206041125, 0.00011945253978800295), (206061515, 0.00013794556666117444)]",South Yarra,"[206061515, 0.37959026695528236]",206061515,"[[206061516, 0.2917074589224382], [206041125, 0.32870227412227937], [206061515, 0.37959026695528236]]"
locc5abea08e85d,"[(213051466, 0.00017042506058080744), (213051580, 0.0019466197876581396), (213051464, 0.0009652983160688207), (213051581, 0.0005687048928323144), (213051368, 0.00030087657518522784)]",Point Cook,"[213051580, 0.4925751295294186]",213051580,"[[213051466, 0.04312457256567908], [213051580, 0.4925751295294186], [213051464, 0.24426030501012863], [213051581, 0.1439058043213969], [213051368, 0.07613418857337678]]"
loccb9bfb1fb49a,"[(211031450, 5.379455293779029e-06), (211031451, 0.0007372990833247316), (211031266, 0.0006953287431478081)]",Croydon,"[211031451, 0.5127227745461064]",211031451,"[[211031450, 0.0037409096337616523], [211031451, 0.5127227745461064], [211031266, 0.48353631582013185]]"
loccd13bd88b567,"[(211011447, 0.0007152527089890264), (211011448, 0.0006880258411457529)]",Ferntree Gully,"[211011447, 0.5097011629803144]",211011447,"[[211011447, 0.5097011629803144], [211011448, 0.4902988370196856]]"
locd8470b65d64b,"[(208021174, 0.0004679531931367984), (208021427, 1.2038569004192695e-05)]",Bentleigh,"[208021174, 0.9749192174663687]",208021174,"[[208021174, 0.9749192174663687], [208021427, 0.025080782533631333]]"
locdf0288b649a4,"[(204031492, 0.0011601189800225819), (204031491, 0.002551133878992708)]",Wodonga,"[204031491, 0.6874050289501434]",204031491,"[[204031492, 0.3125949710498565], [204031491, 0.6874050289501434]]"
loce48c38ae2d6a,"[(206071517, 0.0002581596292067317), (206071518, 0.00019681919124717837)]",Richmond,"[206071517, 0.5674102125219334]",206071517,"[[206071517, 0.5674102125219334], [206071518, 0.4325897874780666]]"
loce4c31fa791f4,"[(212041309, 0.00028814097955422966), (212051326, 0.0003932472457703737)]",Oakleigh South,"[212051326, 0.5771265647906324]",212051326,"[[212041309, 0.42287343520936765], [212051326, 0.5771265647906324]]"
loce4ce9f3183f9,"[(213041359, 0.0006232496136122236), (213041574, 0.000599727165043146)]",Deanside,"[213041359, 0.5096168827485588]",213041359,"[[213041359, 0.5096168827485588], [213041574, 0.4903831172514413]]"
loce578d6ccca3a,"[(209021205, 0.0002773278045437626), (209011203, 0.00018471325872512258)]",Macleod,"[209021205, 0.6002232844451132]",209021205,"[[209021205, 0.6002232844451132], [209011203, 0.3997767155548868]]"
